ID,Title,Release Year,Length in Min,IMDB Rating,Rating Count,Directors,Writers,Stars,Genres,Budget,Gross
434,Not of This Earth,1988,81,4.9,2700,Jim Wynorski,"R.J. Robertson, Jim Wynorski, Charles B. Griffith",Traci Lords|Arthur Roberts|Lenny Juliano,Comedy|Horror|Sci-Fi,210000,107352
435,Phantasm II,1988,97,6.4,17000,Don Coscarelli,Don Coscarelli,James Le Gros|Reggie Bannister|Angus Scrimm,Action|Fantasy|Horror,3000000,7282851
436,Poltergeist III,1988,98,4.7,20000,Gary Sherman,"Gary Sherman, Brian Taggert, Steve Feke",Heather O'Rourke|Tom Skerritt|Nancy Allen,Horror|Thriller,10500000,14144000
437,Prison,1987,102,5.8,4800,Renny Harlin,"Irwin Yablans, C. Courtney Joyner, Renny Harlin",Lane Smith|Viggo Mortensen|Chelsea Field,Crime|Drama|Horror,4000000,354704
438,Pumpkinhead,1988,86,6.2,28000,Stan Winston,"Ed Justin, Mark Patrick Carducci, Stan Winston",Lance Henriksen|Jeff East|John D'Aquino,Fantasy|Horror,3500000,4400000
439,Return of the Living Dead: Part II,1988,89,5.7,22000,Ken Wiederhorn,Ken Wiederhorn,James Karen|Thom Mathews|Michael Kenworthy,Comedy|Horror|Sci-Fi,6000000,9200000
440,The Serpent and the Rainbow,1988,98,6.4,28000,Wes Craven,"Wade Davis, Richard Maxwell, Adam Rodman",Bill Pullman|Cathy Tyson|Zakes Mokae,Fantasy|Horror,11000000,19595031
441,They Live,1988,94,7.2,145000,John Carpenter,"Ray Nelson, John Carpenter",Roddy Piper|Keith David|Meg Foster,Action|Horror|Sci-Fi,4000000,13000000
442,Waxwork,1988,95,6.1,14000,Anthony Hickox,Anthony Hickox,Zach Galligan|Deborah Foreman|Jennifer Bassey,Comedy|Horror,3000000,808114
443,C.H.U.D. II: Bud the Chud,1989,84,4.1,4000,David Irving,Ed Naha,Brian Robbins|Bill Calvert|Tricia Leigh Fisher,Comedy|Horror|Sci-Fi,49200000,62405000
444,Cameron's Closet,1988,86,5.0,1100,Armand Mastroianni,Gary Brandner,Cotter Smith|Mel Harris|Scott Curtis,Fantasy|Horror,7000000,136203
445,Communion,1989,109,5.5,7600,Philippe Mora,Whitley Strieber,Christopher Walken|Lindsay Crouse|Frances Sternhagen,Biography|Drama|Horror,5000000,1919653
446,Dead Calm,1989,96,6.8,44000,Phillip Noyce,"Terry Hayes, Charles Williams",Nicole Kidman|Sam Neill|Billy Zane,Horror|Thriller,10400000,7825000
447,DeepStar Six,1989,99,5.3,13000,Sean S. Cunningham,"Lewis Abernathy, Geof Miller",Greg Evigan|Nancy Everhard|Taurean Blacque,Action|Horror|Sci-Fi,8000000,8143225
448,The Fly II,1989,105,5.1,25000,Chris Walas,"Mick Garris, Jim Wheat, Ken Wheat",Eric Stoltz|Daphne Zuniga|Lee Richardson,Drama|Horror|Sci-Fi,16500000,38900000
449,Friday the 13th Part VIII: Jason Takes Manhattan,1989,100,4.5,43000,Rob Hedden,"Rob Hedden, Victor Miller",Jensen Daggett|Kane Hodder|Todd Caldecott,Adventure|Horror|Thriller,5300000,14343976
450,Gojira vs. Biorante,1989,104,6.5,6800,"Kazuki Ômori, Koji Hashimoto, Kenjirô Ohmori","Shinichiro Kobayashi, Shinichiro Kobayashi, Shin'ichi Sekizawa",Kunihiko Mitamura|Yoshiko Tanaka|Masanobu Takashima,Action|Fantasy|Horror,5000000,7000000
451,Halloween 5: The Revenge of Michael Myers,1989,96,4.9,47000,Dominique Othenin-Girard,"John Carpenter, Debra Hill, Michael Jacobs",Donald Pleasence|Danielle Harris|Ellie Cornell,Horror|Thriller,3000000,11642254
452,Leviathan,1989,98,5.8,24000,George P. Cosmatos,"David Webb Peoples, Jeb Stuart",Peter Weller|Richard Crenna|Amanda Pays,Adventure|Horror|Mystery,25000000,15704614
453,A Nightmare on Elm Street: The Dream Child,1989,89,5.0,51000,Stephen Hopkins,"Wes Craven, John Skipp, Craig Spector",Robert Englund|Lisa Wilcox|Kelly Jo Minter,Fantasy|Horror,8000000,22168359
454,Parents,1989,81,6.1,8600,Bob Balaban,Christopher Hawthorne,Randy Quaid|Mary Beth Hurt|Sandy Dennis,Comedy|Horror|Mystery,3000000,870532
455,Pet Sematary,1989,103,6.5,115000,Mary Lambert,Stephen King,Dale Midkiff|Denise Crosby|Fred Gwynne,Fantasy|Horror|Thriller,11500000,57500000
456,Shocker,1989,109,5.5,18000,Wes Craven,Wes Craven,Michael Murphy|Mitch Pileggi|John Tesh,Comedy|Horror|Thriller,5000000,16554699
457,Stepfather II,1989,93,5.6,4800,Jeff Burr,"Carolyn Lefcourt, Brian Garfield, Donald E. Westlake",Terry O'Quinn|Meg Foster|Caroline Williams,Horror|Thriller,1500000,1519796
458,The Toxic Avenger Part II,1989,102,5.0,7400,"Michael Herz, Lloyd Kaufman","Gay Partington Terry, Lloyd Kaufman, Pericles Lewnes",Ron Fazio|John Altamura|Phoebe Legere,Action|Comedy|Horror,2500000,792966
459,Warlock,1989,103,6.2,19000,Steve Miner,David Twohy,Julian Sands|Lori Singer|Richard E. Grant,Action|Fantasy|Horror,7000000,9094451
460,Arachnophobia,1990,109,6.5,76000,Frank Marshall,"Don Jakoby, Al Williams, Wesley Strick",Jeff Daniels|Julian Sands|John Goodman,Comedy|Horror|Thriller,31000000,53200000
461,Child's Play 2,1990,84,5.9,58000,John Lafia,Don Mancini,Alex Vincent|Jenny Agutter|Gerrit Graham,Horror|Thriller,13000000,35763605
462,Class of 1999,1990,99,5.9,8600,Mark L. Lester,"Mark L. Lester, C. Courtney Joyner, John Skipp",Bradley Gregg|Traci Lind|Malcolm McDowell,Action|Horror|Sci-Fi,5200000,2459895
463,The Exorcist III,1990,110,6.5,39000,William Peter Blatty,William Peter Blatty,George C. Scott|Ed Flanders|Brad Dourif,Drama|Horror|Mystery,9300000,39024251
464,The First Power,1990,98,5.7,4900,Robert Resnikoff,Robert Resnikoff,Lou Diamond Phillips|Tracy Griffith|Jeff Kober,Crime|Horror|Thriller,10000000,22424195
465,Flatliners,1990,115,6.5,93000,Joel Schumacher,Peter Filardi,Kiefer Sutherland|Kevin Bacon|Julia Roberts,Drama|Horror|Sci-Fi,26000000,61489265
466,Frankenhooker,1990,85,6.2,14000,Frank Henenlotter,"Robert Martin, Frank Henenlotter",James Lorinz|Joanne Ritchie|Patty Mullen,Comedy|Horror|Sci-Fi,2500000,205068
467,Frankenstein Unbound,1990,85,5.4,4100,Roger Corman,"Brian Aldiss, Roger Corman, F.X. Feeney",John Hurt|Raul Julia|Nick Brimble,Drama|Horror|Sci-Fi,11500000,334748
468,The Gate II: Trespassers,1990,93,4.8,2700,Tibor Takács,Michael Nankin,Louis Tripp|Simon Reynolds|James Villemaire,Comedy|Fantasy|Horror,6500000,2032973
469,Graveyard Shift,1990,86,4.9,13000,Ralph S. Singleton,"Stephen King, John Esposito",David Andrews|Kelly Wolf|Stephen Macht,Horror,10500000,11582891
470,Gremlins 2: The New Batch,1990,106,6.4,113000,"Joe Dante, Chuck Jones","Charles S. Haas, Chris Columbus",Zach Galligan|Phoebe Cates|Howie Mandel,Comedy|Fantasy|Horror,50000000,41482207
471,Dark Angel,1990,91,6.1,14000,Craig R. Baxley,"Jonathan Tydor, David Koepp",Dolph Lundgren|Brian Benben|Betsy Brantley,Action|Crime|Horror,7000000,9200000
472,Jacob's Ladder,1990,113,7.4,118000,Adrian Lyne,Bruce Joel Rubin,Tim Robbins|Elizabeth Peña|Danny Aiello,Drama|Horror|Mystery,25000000,26118851
473,Leatherface: Texas Chainsaw Massacre III,1990,85,5.0,19000,Jeff Burr,"Kim Henkel, Tobe Hooper, David J. Schow",Kate Hodge|Ken Foree|R.A. Mihailoff,Horror|Thriller,2000000,55800000
474,Meet the Applegates,1990,90,5.4,2600,Michael Lehmann,"Michael Lehmann, Redbeard Simmons",Ed Begley Jr.|Stockard Channing|Dabney Coleman,Comedy|Fantasy|Horror,5000000,485772
475,Night of the Living Dead,1990,92,6.8,46000,Tom Savini,"John A. Russo, George A. Romero",Tony Todd|Patricia Tallman|Tom Towles,Horror,4200000,5835247
476,Nightbreed,1990,102,6.5,26000,Clive Barker,Clive Barker,Craig Sheffer|David Cronenberg|Anne Bobby,Action|Fantasy|Horror,11000000,8862354
477,The Pit and the Pendulum,1991,97,6.0,5500,Stuart Gordon,"Edgar Allan Poe, Dennis Paoli",Lance Henriksen|Stephen Lee|William Norris,Horror|Romance,2000000,3331
478,Predator 2,1990,108,6.3,183000,Stephen Hopkins,"Jim Thomas, John Thomas",Danny Glover|Gary Busey|Kevin Peter Hall,Action|Horror|Sci-Fi,35000000,57120318
479,Slumber Party Massacre III,1990,87,4.5,3500,Sally Mattison,Catherine Cyran,Keely Christian|Brittain Frye|Michael Harris,Comedy|Horror,350000,1242995
480,Tales from the Darkside: The Movie,1990,93,6.2,19000,John Harrison,"Michael McDowell, Arthur Conan Doyle, Stephen King",Debbie Harry|Matthew Lawrence|Christian Slater,Comedy|Fantasy|Horror,3500000,16324573
481,Tremors,1990,96,7.2,151000,Ron Underwood,"S.S. Wilson, Brent Maddock, Ron Underwood",Kevin Bacon|Fred Ward|Finn Carter,Comedy|Horror,11000000,48572000
482,Freddy's Dead: The Final Nightmare,1991,89,4.7,51000,Rachel Talalay,"Wes Craven, Rachel Talalay, Michael De Luca",Robert Englund|Lisa Zane|Shon Greenblatt,Fantasy|Horror,10000000,34872033
483,Poison,1991,85,6.3,5000,Todd Haynes,"Jean Genet, Todd Haynes",Edith Meeks|Larry Maxwell|Susan Norman,Drama|Horror|Romance,250000,609524
484,Scanners II: The New Order,1991,104,5.3,3700,Christian Duguay,"David Cronenberg, B.J. Nelson",David Hewlett|Deborah Raffin|Yvan Ponton,Action|Horror|Sci-Fi,5000000,14225876
485,Alien³,1992,114,6.4,319000,David Fincher,"Dan O'Bannon, Ronald Shusett, Vincent Ward",Sigourney Weaver|Charles S. Dutton|Charles Dance,Action|Horror|Sci-Fi,50000000,159773545
486,Braindead,1992,104,7.5,103000,Peter Jackson,"Stephen Sinclair, Fran Walsh, Peter Jackson",Timothy Balme|Diana Peñalver|Elizabeth Moody,Comedy|Fantasy|Horror,3000000,242623
487,Bram Stoker's Dracula,1992,128,7.4,238000,Francis Ford Coppola,"Bram Stoker, James V. Hart",Gary Oldman|Winona Ryder|Anthony Hopkins,Drama|Fantasy|Horror,40000000,215862692
488,Candyman,1992,99,6.7,100000,Bernard Rose,"Clive Barker, Bernard Rose",Virginia Madsen|Xander Berkeley|Tony Todd,Horror|Thriller,6000000,25792310
489,Child's Play 3,1991,90,5.2,46000,Jack Bender,Don Mancini,Justin Whalin|Perrey Reeves|Jeremy Sylvers,Horror|Thriller,13000000,20560255
490,Death Becomes Her,1992,104,6.6,131000,Robert Zemeckis,"Martin Donovan, David Koepp",Meryl Streep|Bruce Willis|Goldie Hawn,Comedy|Fantasy|Horror,55000000,149000000
491,Hellraiser III: Hell on Earth,1992,97,5.5,35000,Anthony Hickox,"Peter Atkins, Tony Randel, Clive Barker",Terry Farrell|Doug Bradley|Kevin Bernhardt,Horror,5000000,12534961
492,The Lawnmower Man,1992,108,5.4,39000,Brett Leonard,"Stephen King, Brett Leonard, Gimel Everett",Jeff Fahey|Pierce Brosnan|Jenny Wright,Horror|Sci-Fi,10000000,32100816
493,The People Under the Stairs,1991,102,6.4,40000,Wes Craven,Wes Craven,Brandon Quintin Adams|Everett McGill|Wendy Robie,Comedy|Horror|Mystery,6000000,31400000
494,Pet Sematary II,1992,100,4.9,23000,Mary Lambert,Richard Outten,Edward Furlong|Anthony Edwards|Clancy Brown,Fantasy|Horror|Thriller,8000000,17092453
495,Raising Cain,1992,92,6.1,17000,Brian De Palma,Brian De Palma,John Lithgow|Lolita Davidovich|Steven Bauer,Crime|Drama|Horror,12000000,37170057
496,Sleepwalkers,1992,91,5.3,25000,Mick Garris,Stephen King,Brian Krause|Mädchen Amick|Alice Krige,Fantasy|Horror,15000000,30524764
497,Split Second,1992,90,6.0,17000,Tony Maylam,Gary Scott Thompson,Rutger Hauer|Kim Cattrall|Alastair Duncan,Action|Crime|Horror,7000000,5430822
498,Twin Peaks: Fire Walk with Me,1992,134,7.3,105000,David Lynch,"David Lynch, Robert Engels, Mark Frost",Sheryl Lee|Ray Wise|Mädchen Amick,Drama|Horror|Mystery,10000000,4248389
499,The Vagrant,1992,91,5.8,2000,Chris Walas,Richard Jefferies,Bill Paxton|Michael Ironside|Marshall Bell,Comedy|Horror|Thriller,9500000,5900
500,Army of Darkness,1992,81,7.4,194000,Sam Raimi,"Sam Raimi, Ivan Raimi",Bruce Campbell|Embeth Davidtz|Marcus Gilbert,Comedy|Horror,11000000,21502976
501,Body Snatchers,1993,87,6.0,21000,Abel Ferrara,"Jack Finney, Raymond Cistheri, Larry Cohen",Gabrielle Anwar|Meg Tilly|Terry Kinney,Horror|Sci-Fi,13000000,428868
502,Carnosaur,1993,83,3.6,4400,"Adam Simon, Darren Patrick Moloney","John Brosnan, Adam Simon",Diane Ladd|Raphael Sbarge|Jennifer Runyon,Horror|Sci-Fi,1000000,1753979
503,Children of the Corn II: The Final Sacrifice,1992,92,4.3,9500,David Price,"A L Katz, Gilbert Adler, Stephen King",Terence Knox|Paul Scherrer|Ryan Bollman,Horror|Thriller,900000,6980986
504,The Dark Half,1993,122,6.0,19000,George A. Romero,"Stephen King, George A. Romero",Timothy Hutton|Amy Madigan|Michael Rooker,Horror|Mystery|Thriller,15000000,10611160
505,Ghost in the Machine,1993,95,4.6,4200,Rachel Talalay,"William Davies, William Osborne",Karen Allen|Chris Mulkey|Ted Marcoux,Horror|Sci-Fi|Thriller,12000000,5086909
506,Jason Goes to Hell: The Final Friday,1993,87,4.1,37000,Adam Marcus,"Jay Huguely, Adam Marcus, Dean Lorey",John D. LeMay|Kari Keegan|Kane Hodder,Fantasy|Horror|Thriller,3000000,15935068
507,Man's Best Friend,1993,87,5.2,4900,John Lafia,John Lafia,Ally Sheedy|Lance Henriksen|Robert Costanzo,Comedy|Horror|Sci-Fi,6000000,12974636
508,Return of the Living Dead III,1993,97,5.9,17000,Brian Yuzna,John Penney,J. Trevor Edmond|Melinda Clarke|Kent McCord,Horror,2000000,54207
509,Warlock: The Armageddon,1993,98,5.4,6900,Anthony Hickox,"Kevin Rock, Sam Bernard, David Twohy",Julian Sands|Chris Young|Paula Marshall,Action|Fantasy|Horror,3000000,3902679
510,Mary Shelley's Frankenstein,1994,123,6.3,59000,Kenneth Branagh,"Mary Shelley, Steph Lady, Frank Darabont",Robert De Niro|Kenneth Branagh|Helena Bonham Carter,Drama|Horror|Romance,45000000,112000000
511,Interview with the Vampire: The Vampire Chronicles,1994,123,7.5,348000,Neil Jordan,Anne Rice,Brad Pitt|Tom Cruise|Antonio Banderas,Drama|Fantasy|Horror,60000000,223664608
512,Leprechaun 2,1994,85,4.6,12000,Rodman Flender,"Mark Jones, Turi Meyer, Alfredo Septién",Warwick Davis|Charlie Heath|Shevonne Durkin,Comedy|Fantasy|Horror,2000000,2300000
513,The Puppet Masters,1994,109,5.9,9700,Stuart Orme,"Robert A. Heinlein, Ted Elliott, Terry Rossio",Donald Sutherland|Eric Thal|Julie Warner,Horror|Sci-Fi|Thriller,15000000,8600000
514,Wes Craven's New Nightmare,1994,112,6.4,64000,Wes Craven,Wes Craven,Heather Langenkamp|Robert Englund|Jf Davis,Fantasy|Horror|Mystery,8000000,18090181
515,Wolf,1994,125,6.3,60000,Mike Nichols,"Jim Harrison, Wesley Strick",Jack Nicholson|Michelle Pfeiffer|James Spader,Drama|Horror|Romance,70000000,131002597
516,Dracula: Dead and Loving It,1995,88,5.8,45000,Mel Brooks,"Mel Brooks, Rudy De Luca, Steve Haberman",Leslie Nielsen|Mel Brooks|Peter MacNicol,Comedy|Fantasy|Horror,30000000,10772144
517,Gojira vs. Desutoroiâ,1995,103,6.9,7400,"Takao Okawara, Ishirô Honda, Koji Hashimoto","Kaoru Kamigiku, Kôichi Kawakita, Yosuke Nakano",Takurô Tatsumi|Yôko Ishino|Yasufumi Hayashi,Action|Horror|Sci-Fi,10000000,18000000
518,Halloween: The Curse of Michael Myers,1995,87,4.7,42000,Joe Chappelle,"Debra Hill, John Carpenter, Daniel Farrands",Donald Pleasence|Paul Rudd|Marianne Hagan,Horror|Thriller,5000000,15116634
519,Hideaway,1995,106,5.3,7500,Brett Leonard,"Dean R. Koontz, Andrew Kevin Walker, Neal Jimenez",Jeff Goldblum|Christine Lahti|Alicia Silverstone,Fantasy|Horror|Thriller,15000000,12201255
520,In the Mouth of Madness,1994,95,7.1,79000,John Carpenter,Michael De Luca,Sam Neill|Jürgen Prochnow|Julie Carmen,Drama|Fantasy|Horror,8000000,8946600
521,Screamers,1995,108,6.3,29000,Christian Duguay,"Philip K. Dick, Dan O'Bannon, Miguel Tejada-Flores",Peter Weller|Roy Dupuis|Jennifer Rubin,Horror|Sci-Fi|Thriller,20000000,5781885
522,Species,1995,108,5.9,85000,Roger Donaldson,Dennis Feldman,Natasha Henstridge|Michael Madsen|Ben Kingsley,Action|Horror|Sci-Fi,35000000,113400000
523,Tales from the Crypt: Demon Knight,1995,92,6.7,26000,Ernest R. Dickerson,"Ethan Reiff, Cyrus Voris, Mark Bishop",Billy Zane|William Sadler|Jada Pinkett Smith,Action|Fantasy|Horror,13000000,21089146
524,Tales from the Hood,1995,98,6.5,9600,Rusty Cundieff,"Rusty Cundieff, Darin Scott",Clarence Williams III|Corbin Bernsen|Joe Torry,Crime|Drama|Horror,6000000,12000000
525,Vampire in Brooklyn,1995,100,4.6,25000,Wes Craven,"Eddie Murphy, Vernon Lynch, Charlie Murphy",Eddie Murphy|Angela Bassett|Allen Payne,Comedy|Fantasy|Horror,14000000,19800000
526,Village of the Damned,1995,98,5.6,34000,John Carpenter,"John Wyndham, Stirling Silliphant, Wolf Rilla",Christopher Reeve|Kirstie Alley|Linda Kozlowski,Horror|Sci-Fi|Thriller,22000000,9418365
527,Bad Moon,1996,80,5.8,8100,Eric Red,"Wayne Smith, Eric Red",Mariel Hemingway|Michael Paré|Mason Gamble,Horror|Thriller,7000000,1100000
528,The Craft,1996,101,6.4,108000,Andrew Fleming,"Peter Filardi, Andrew Fleming",Robin Tunney|Fairuza Balk|Neve Campbell,Drama|Fantasy|Horror,15000000,24800000
529,Diabolique,1996,107,5.4,15000,Jeremiah S. Chechik,"Pierre Boileau, Thomas Narcejac, Henri-Georges Clouzot",Sharon Stone|Isabelle Adjani|Chazz Palminteri,Drama|Horror|Mystery,45000000,52400000
530,The Frighteners,1996,110,7.1,96000,Peter Jackson,"Fran Walsh, Peter Jackson",Michael J. Fox|Trini Alvarado|Peter Dobson,Comedy|Fantasy|Horror,30000000,29359216
531,From Dusk Till Dawn,1996,108,7.2,341000,Robert Rodriguez,"Robert Kurtzman, Quentin Tarantino",Harvey Keitel|George Clooney|Juliette Lewis,Action|Crime|Horror,19000000,25800000
532,Hellraiser: Bloodline,1996,85,5.1,25000,Kevin Yagher,Peter Atkins,Bruce Ramsay|Valentina Vargas|Doug Bradley,Horror|Sci-Fi,4000000,16675000
533,The Island of Dr. Moreau,1996,96,4.6,35000,"John Frankenheimer, Richard Stanley","H.G. Wells, Richard Stanley, Ron Hutchinson",David Thewlis|Marlon Brando|Val Kilmer,Horror|Sci-Fi|Thriller,40000000,49627779
534,La lengua asesina,1996,100,4.6,1300,Alberto Sciamma,Alberto Sciamma,Melinda Clarke|Jason Durr|Mapi Galán,Comedy|Sci-Fi|Horror,4000000,219449
535,Mary Reilly,1996,108,5.8,16000,Stephen Frears,"Valerie Martin, Christopher Hampton",Julia Roberts|John Malkovich|George Cole,Drama|Horror|Romance,47000000,12379402
536,Kivili,1996,111,7.4,389000,Wes Craven,Kevin Williamson,Neve Campbell|Courteney Cox|David Arquette,Horror|Mystery,14000000,173046663
537,Bordello of Blood,1996,87,5.4,16000,Gilbert Adler,"William M. Gaines, Bob Gale, Robert Zemeckis",Dennis Miller|Erika Eleniak|Angie Everhart,Comedy|Fantasy|Horror,15000000,5600000
538,Thinner,1996,93,5.8,34000,Tom Holland,"Stephen King, Michael McDowell, Tom Holland",Robert John Burke|Joe Mantegna|Lucinda Jenney,Fantasy|Horror,8000000,15315484
539,Alien Resurrection,1997,109,6.2,263000,Jean-Pierre Jeunet,"Dan O'Bannon, Ronald Shusett, Joss Whedon",Sigourney Weaver|Winona Ryder|Dominique Pinon,Action|Horror|Sci-Fi,70000000,162000000
540,An American Werewolf in Paris,1997,98,5.1,27000,Anthony Waller,"John Landis, Tim Burns, Tom Stern",Tom Everett Scott|Julie Delpy|Vince Vieluf,Comedy|Fantasy|Horror,22000000,26570463
541,Anaconda,1997,89,4.9,112000,Luis Llosa,"Hans Bauer, Jim Cash, Jack Epps Jr.",Jon Voight|Jennifer Lopez|Eric Stoltz,Action|Adventure|Horror,45000000,136900000
542,Deep Rising,1998,106,6.1,41000,Stephen Sommers,Stephen Sommers,Treat Williams|Famke Janssen|Anthony Heald,Action|Adventure|Horror,45000000,11203026
543,Event Horizon,1997,96,6.6,197000,Paul W.S. Anderson,Philip Eisner,Laurence Fishburne|Sam Neill|Kathleen Quinlan,Horror|Sci-Fi|Thriller,60000000,26700000
544,I Know What You Did Last Summer,1997,101,5.8,158000,Jim Gillespie,"Kevin Williamson, Lois Duncan",Jennifer Love Hewitt|Sarah Michelle Gellar|Anne Heche,Horror|Mystery,17000000,125586134
545,Mimic,1997,105,6.0,56000,Guillermo del Toro,"Donald A. Wollheim, Matthew Robbins, Guillermo del Toro",Mira Sorvino|Jeremy Northam|Alexander Goodwin,Horror|Sci-Fi,30000000,25480490
546,The Night Flier,1997,97,6.0,12000,Mark Pavia,"Stephen King, Mark Pavia, Jack O'Donnell",Miguel Ferrer|Julie Entwisle|Dan Monahan,Fantasy|Horror|Mystery,1000000,125397
547,Nightwatch,1997,101,6.2,21000,Ole Bornedal,"Ole Bornedal, Steven Soderbergh",Ewan McGregor|Nick Nolte|Anais Evans,Drama|Horror|Thriller,10000000,1179002
548,Perdita Durango,1997,129,6.3,9800,Álex de la Iglesia,"Barry Gifford, Jorge Guerricaechevarría, David Trueba",Rosie Perez|Javier Bardem|Harley Cross,Action|Crime|Horror,7552917,2957970
549,Phantoms,1998,96,5.4,22000,Joe Chappelle,Dean R. Koontz,Peter O'Toole|Rose McGowan|Joanna Going,Horror|Sci-Fi|Thriller,14000000,5624282
550,The Relic,1997,110,5.8,30000,Peter Hyams,"Douglas Preston, Lincoln Child, Amy Holden Jones",Penelope Ann Miller|Tom Sizemore|Linda Hunt,Horror|Mystery|Sci-Fi,60000000,33956608
551,Virus,1999,99,5.0,30000,John Bruno,"Chuck Pfarrer, Dennis Feldman",Jamie Lee Curtis|Donald Sutherland|William Baldwin,Action|Horror|Sci-Fi,75000000,30700000
552,Wishmaster,1997,90,5.8,25000,Robert Kurtzman,Peter Atkins,Tammy Lauren|Andrew Divoff|Angus Scrimm,Fantasy|Horror,5000000,15738769
553,Beloved,1998,172,6.0,9600,Jonathan Demme,"Toni Morrison, Akosua Busia, Richard LaGravenese",Oprah Winfrey|Danny Glover|Yada Beener,Drama|History|Horror,80000000,22900000
554,Blade,1998,120,7.1,299000,Stephen Norrington,David S. Goyer,Wesley Snipes|Stephen Dorff|Kris Kristofferson,Action|Horror|Sci-Fi,45000000,131183530
555,From Hell,2001,122,6.7,164000,"Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell, Terry Hayes",Johnny Depp|Heather Graham|Ian Holm,Horror|Mystery|Thriller,35000000,74558115
556,Halloween H20: 20 Years Later,1998,86,5.8,82000,Steve Miner,"Debra Hill, John Carpenter, Robert Zappia",Jamie Lee Curtis|Josh Hartnett|Adam Arkin,Horror|Thriller,17000000,75041738
557,Resident Evil,2002,100,6.6,289000,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich|Michelle Rodriguez|Ryan McCluskey,Action|Horror|Sci-Fi,33000000,103000000
558,Species II,1998,93,4.5,31000,Peter Medak,"Dennis Feldman, Chris Brancato",Natasha Henstridge|Michael Madsen|Marg Helgenberger,Action|Horror|Sci-Fi,35000000,19200000
